age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
56,Private,33115,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
25,Private,112847,HS-grad,9,Married-civ-spouse,Transport-moving,Own-child,Other,Male,0,0,40,United-States,0
43,Private,170525,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,14344,0,40,United-States,1
32,Private,186788,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
39,Private,277886,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,30,United-States,0
20,Private,323009,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,Germany,0
54,Private,146834,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,0
25,Private,166977,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,40,United-States,1
30,Private,209317,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,50,Dominican-Republic,0
33,Private,92865,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
42,Self-emp-not-inc,83953,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,0
24,Private,211527,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,0
48,Private,50880,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Germany,0
21,Private,253583,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,45,United-States,0
37,State-gov,117651,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Male,0,0,40,United-States,0
36,Self-emp-not-inc,64875,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,60,United-States,0
26,Private,212798,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,0
25,Private,521400,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,Mexico,0
66,Self-emp-not-inc,37170,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,1
37,Private,472517,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,0,0,4,United-States,0
54,Private,188136,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,1408,38,United-States,0
45,Private,172274,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,1
33,Private,177727,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
67,,182378,Bachelors,13,Married-civ-spouse,,Husband,White,Male,9386,0,60,United-States,1
31,Private,375680,Bachelors,13,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,40,,0
22,Private,227994,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,39,United-States,0
62,,139391,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,24,United-States,0
22,State-gov,264102,Some-college,10,Never-married,Other-service,Other-relative,Black,Male,0,0,39,Haiti,0
